1,0,111101111101101
1,1,110101111101111
1,0,111100100100111
1,1,110101101101110
1,0,111100110100111
1,0,111100111100100
1,1,111100100101111
1,0,101101111101101
1,0,111010010010111
1,1,011001001101011
1,1,101101110100101
1,0,100100100100111
0,1,11111111111111111111
0,1,10011001100110011001
1,0,111101101101111
1,1,110101111100100
1,1,010101101101011
1,1,111101111100101
1,1,111100010001111
1,0,111010010010010
1,0,101101101101111
1,1,101101101101010
0,0,11111111111111111111
1,1,101101010101101
1,0,101101111010010
1,1,111001010100111
1,0,100100100000100
1,0,000000000000100
1,0,110001010000010
